2025-04-03 22:22:52,383 - ERROR - Traceback (most recent call last):
2025-04-03 22:22:52,384 - ERROR -   File "C:\Users\austi\PycharmProjects\YummyTD\main.py", line 131, in <module>
2025-04-03 22:22:52,384 - ERROR - game_tools.update_stats(screen, game_tools.user_health, game_tools.money, round_number, clock)
2025-04-03 22:22:52,384 - ERROR -   File "C:\Users\austi\PycharmProjects\YummyTD\game_tools.py", line 1222, in update_stats
2025-04-03 22:22:52,384 - ERROR - text1 = health_font.render(f"{int(health)}", True, (255, 255, 255))
2025-04-03 22:22:52,384 - ERROR - pygame
2025-04-03 22:22:52,384 - ERROR - .
2025-04-03 22:22:52,384 - ERROR - error
2025-04-03 22:22:52,384 - ERROR - :
2025-04-03 22:22:52,384 - ERROR - Library not initialized
2025-04-03 22:28:17,070 - INFO - spawning projectile (spool level: 2.4, mag size: 100)
2025-04-03 22:28:17,187 - INFO - spawning projectile (spool level: 10.6, mag size: 100)
2025-04-03 22:28:17,254 - INFO - spawning projectile (spool level: 15.3, mag size: 100)
2025-04-03 22:28:17,322 - INFO - spawning projectile (spool level: 20.0, mag size: 100)
2025-04-03 22:28:17,372 - INFO - spawning projectile (spool level: 23.5, mag size: 100)
2025-04-03 22:28:17,423 - INFO - spawning projectile (spool level: 27.1, mag size: 100)
2025-04-03 22:28:17,472 - INFO - spawning projectile (spool level: 30.5, mag size: 100)
2025-04-03 22:28:17,507 - INFO - spawning projectile (spool level: 33.0, mag size: 100)
2025-04-03 22:28:17,541 - INFO - spawning projectile (spool level: 35.4, mag size: 100)
2025-04-03 22:28:17,568 - INFO - spawning projectile (spool level: 37.2, mag size: 100)
2025-04-03 22:28:17,594 - INFO - spawning projectile (spool level: 39.1, mag size: 100)
2025-04-03 22:28:17,621 - INFO - spawning projectile (spool level: 41.0, mag size: 100)
2025-04-03 22:28:17,645 - INFO - spawning projectile (spool level: 42.7, mag size: 100)
2025-04-03 22:28:17,672 - INFO - spawning projectile (spool level: 44.5, mag size: 100)
2025-04-03 22:28:17,697 - INFO - spawning projectile (spool level: 46.3, mag size: 100)
2025-04-03 22:28:17,723 - INFO - spawning projectile (spool level: 48.1, mag size: 100)
2025-04-03 22:28:17,749 - INFO - spawning projectile (spool level: 49.9, mag size: 100)
2025-04-03 22:28:17,775 - INFO - spawning projectile (spool level: 51.7, mag size: 100)
2025-04-03 22:28:17,801 - INFO - spawning projectile (spool level: 53.6, mag size: 100)
2025-04-03 22:28:17,828 - INFO - spawning projectile (spool level: 55.4, mag size: 100)
2025-04-03 22:28:17,845 - INFO - spawning projectile (spool level: 56.7, mag size: 100)
2025-04-03 22:28:17,864 - INFO - spawning projectile (spool level: 58.0, mag size: 100)
2025-04-03 22:28:17,881 - INFO - spawning projectile (spool level: 59.2, mag size: 100)
2025-04-03 22:28:17,898 - INFO - spawning projectile (spool level: 60.3, mag size: 100)
2025-04-03 22:28:17,916 - INFO - spawning projectile (spool level: 61.6, mag size: 100)
2025-04-03 22:28:17,933 - INFO - spawning projectile (spool level: 62.8, mag size: 100)
2025-04-03 22:28:17,949 - INFO - spawning projectile (spool level: 64.0, mag size: 100)
2025-04-03 22:28:17,967 - INFO - spawning projectile (spool level: 65.2, mag size: 100)
